Question,Answer
Is it only for complaints or can I present a general issue that needs attention ?,You can report a general issue and it will also be routed in the same fashion as complaints.
What happens after I reported an issue ?,"After you reported the issue, we will bring it to the attention of the respective govt personnel. We will also keep you posted on the issue progress/ resolution."
How can I report an issue ?,"You can simply state the issue in the chat window. If it helps with a photo or location , there is an option to do that from + icon of the chat window."
Why do local residents have to do this ?,"Building a safe and awesome neighborhood is a collective responsibility of both Government and its citizens, not just a mere responsibility of govt. officials. Through this platform, residents can become direct contributors of community building, making their community better by working side by side with the Govt."
What do Civil Complaints do?,It is a mobile communication platform for local residents to report any non-emergency issues/complaints in Bucks County. Cossist will bring them to the attention of respective Bucks country Govt officials.
What is your story and what services do you provide ?,"In 1978, Twining Village was constructed to meet the needs of a local Lutheran congregation. What began as an independent living and skilled nursing center almost 30 years ago has blossomed into a continuing care community consisting of 224 senior living apartments, 120 personal care residences, and more than 80 nursing care beds, serving a population of older adults from all faiths and backgrounds. Our services are Independent living, Personalized care, Memory care, Skilled Nursing and Rehabilitation"
What does your continuing care campus boast of ?,"Our campus includes the following: Well-appointed independent living apartment homes, Spacious stand-alone cottages, Nurturing personal care community, Newly renovated health care and rehabilitation center, Expansive Wellness Center, Indoor pool, Community auditorium, On-site convenience store, Boutique and specialty jewelry and gift shop"
What is the connection between Diakon and Twining Village ?,"Twining Village is a Diakon Lutheran Social Ministries Community. Diakon is a multi-service, not-for-profit organization committed to offering active seniors the opportunity to enjoy an engaging, meaningful lifestyle in attractive and affordable accommodations, as well as have access to a continuum of health care services and community-based programs. Diakon also provides a wide range of services for children, youths and families, including adoption, foster care, family counseling and programs for at-risk youths. Each year, Diakon Lutheran Social Ministries serves people of all faiths, offering compassionate service, gracious hospitality and charitable care."
What kind of life style can I expect for my loved ones at your place ?,"Our residents enjoy a truly worry-free lifestyle, freeing them up to enjoy the host of activities we offer on a daily basis. From busy social calendars, to the many benefits our highly desirable location offers, it’s easy to see why residents say, 'This is the Way to Live!' While life at Twining Village is fun, our overall lifestyle focuses on health and well-being. Residents find unlimited opportunities to remain active and independent. To us, wellness means staying fit and strong in every way — physically, socially, intellectually and spiritually. Engaging with others is very important to this belief and we make it easy. Games, clubs, arts and crafts, presentations, education, special events and scheduled trips are just a few of the many planned activities available to our residents. While Twining Village is a retirement destination, it is so much more than just a place to spend retirement years. It’s a place to grow. It’s a place to unwind. It’s a place to live among others who share your interests."
What are the fees associated with living at Twining village ?,"At Twining Village, you pay an entrance fee. Depending on which of our affordable plans you choose, our entrance fee is like an investment because you, your estate and/or your family may gain back a percentage of this fee should you leave for any reason. Plus, we offer several plans to match your preferences – Classic Plan, Classic Plan Plus and our Estate Preservation Plan – with refund amounts varying from 0% to 90% of your initial investment. You are empowered to choose the option that works best for you. To enjoy everything our lifestyle has to offer, you also pay an affordable monthly fee, which varies depending on the size and style of home you choose. This fee covers daily living expenses and services such as lawn care, home maintenance, basic cable, trash removal, a 24-hour call system – as well as all the social and recreational activities we offer on campus."
